JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Sat Sep 03 2016 09:20:09 GMT-0700 (Pacific Daylight Time)
ASIN, Product Name, Brand, Seller, Category, Price, Fees, Net, Weight (lbs), Product Tier, Reviews, Avg. Rating, Rank, Est. Monthly Sales, Est. Monthly Revenue, LQS, Number Sellers
B001G6J9K4 ,"#0 6.5x10" KRAFT BUBBLE MAILER PADDED ENVELOPES-100 qty" ,"ESUPPLYSTORE" ,"Amazon.com in easy-to-open packaging exclusively for Prime members","Office Products","17.99","14.7","3.289999999999999","3.9","Oversize (Small)","85","4.4","5748","260","4677.4","N.A.","10",
B008UZWZRI ,"#136 Phenomenal Reading  Literacy  Learn to Read Poster for Middle and High Schools" ,"Youth Change" ,"Amazon.com","Office Products","21.31","4.97","16.34","0.02","Standard (Large)","9","4.3","99617","6","127.85999999999999","43","1",
B008UZX0JA ,"#139 Computer Skills Poster  Motivational Poster  School Technology Poster" ,"Youth Change" ,"Amazon.com","Office Products","11.49","4.97","6.5200000000000005","0.02","Standard (Large)","3","4","76003","14","160.86","N.A.","2",
B00NCUWHBA ,"#S6 Poster Set Improves Student Attendance  Truancy and Punctuality Problems" ,"Youth Change" ,"Amazon.com","Office Products","25.53","9.71","15.82","1","Standard (Large)","N.A.","N.A.","63936","19","485.07000000000005","31","3",
B00HEU1OGI ,"&#34;God Is My Rock&#34; Printed Navy Poly-Canvas Bible / Book Cover - Psalm 18:2 (Large)" ,"Christian Art Gifts" ,"Amazon.com","Office Products","19.99","6.02","13.969999999999999","0.55","Standard (Large)","1","5","3754877","N.A.","N.A.","N.A.","2",
B00L3M1BNO ,"&#34;I Can Do Everything Through Him&#34; Turquoise & Brown Bible / Book Cover - Philippians 4:13 (Medium)" ,"Christian Art Gifts" ,"Amazon.com","Office Products","19.99","6.02","13.969999999999999","0.02","Standard (Large)","11","5","969551","N.A.","N.A.","47","2",
B008XCPOQ2 ,"&#34;Trust&#34; Brown Tile Design Bible / Book Cover - Proverbs 3:5 (Medium)" ,"Christian Art Gifts" ,"Amazon.com","Office Products","15.46","6.02","9.440000000000001","0.5","Standard (Large)","100","4.6","155828","N.A.","N.A.","42","15",
B002WFBLX6 ,"(Price/Pack)Masterpiece Studios 10625 Silver Thank You 48/48 Bonus Pack" ,"America's Suppliers" ,"Amazon.com","Office Products","12.5","4.9","7.6","N.A.","Standard (Large)","24","3.6","51160","26","325","34","2",
B00U020BWA ,"- Badge Holder Kit w/Laser/Inkjet Insert  Top Load  2 1/4 x 3 1/2  White  100/BX" ,"MOT5" ,"Amazon.com","Office Products","45.95","10.38","35.57","2.03","Standard (Large)","46","4.5","8200","157","7214.150000000001","N.A.","44",
B00DJY8Q2S ,"- Classic Century Ballpoint Twist-Action Pen  Black Ink  Medium" ,"Reg" ,"Amazon.com","Office Products","16.97","6.65","10.319999999999999","N.A.","Standard (Large)","122","4.1","12320","107","1815.79","26","133",
B00TBUURCQ ,"- Classic Century Ballpoint Twist-Action Pen  Black Ink  Medium" ,"MOT4" ,"Amazon.com","Office Products","16.97","6.65","10.319999999999999","N.A.","Standard (Large)","122","4.1","12320","107","1815.79","26","133",
B00TBNMO10 ,"- Easy Peel Laser Mailing Labels  1 x 2-5/8  Clear  750/Box" ,"Reg" ,"Amazon.com","Office Products","12.99","4.51","8.48","N.A.","Standard (Small)","46","4.6","6673","210","2727.9","24","83",
B00TBUGHS4 ,"- Perfect-Bound Planning Notebook Lined with Monthly Calendars  5 1/8 x 8 1/4 " ,"MOT5" ,"Amazon.com","Office Products","13.99","4.09","9.9","N.A.","Standard (Small)","25","4.5","15776","115","1608.8500000000001","28","37",
B00TBUPKP0 ,"- Postcards for Inkjet Printers  4-1/4 x 5-1/2  Matte White  4/Sheet  200/Box" ,"MOT4" ,"Amazon.com","Office Products","13.89","6.09","7.800000000000001","1","Standard (Large)","120","4.2","3318","463","6431.070000000001","28","87",
B00U04JMQE ,"- Recycled Bypass Trimmer  12" Cut Length" ,"MOT5" ,"Amazon.com","Office Products","23.87","11.42","12.450000000000001","3","Oversize (Small)","423","4.6","3593","188","4487.56","22","40",
